,data,cliente,id_produto,descricao,quantidade,valor_und,forma_pag
0,28/02/2025,1.0,426,COPO TERMICO 1.200ML STANLEY,"2,00","120,00",Detalhamento de vendas NFC-e
1,22/02/2025,1.0,453,BOLSA SILICONE INFANTIL,"1,00","29,99",PIX DIRETO
2,22/02/2025,1.0,686,EMBALAGEM SACO,"1,00","2,00",PIX DIRETO
3,28/02/2025,1.0,583,BOLSA MOCHILA ESPORTIVA,"2,00","49,99",PIX
4,28/02/2025,1.0,425,COPO TERMICO MUSICAL,"1,00","49,99",PIX
5,11/04/2025,1.0,235,SACOLA DE PAPEL P/ PRESENTE COM ALÇA PEQ,"30,00","7,00",PIX DIRETO
6,11/04/2025,1.0,851,LAÇO INFANTIL PROMOÇAO,"4,00","4,99",PIX DIRETO
7,11/04/2025,1.0,2,CANETA SIMPLES C/ PONTEIRA,"30,00","6,00",PIX DIRETO
8,16/05/2025,1.0,2,CANETA SIMPLES C/ PONTEIRA,"80,00","6,00",PIX DIRETO
9,16/05/2025,1.0,425,COPO TERMICO MUSICAL,"2,00","49,99",PIX DIRETO
10,17/06/2025,1.0,333,GEL PARA SOMBRANCELHA MELU,"1,00","9,99",DINHEIRO
11,17/06/2025,1.0,331,PO FACIAL MIA MAKE,"1,00","10,00",DINHEIRO
12,17/06/2025,1.0,923,LAÇO INFANTIL JUNINO,"1,00","20,00",DINHEIRO
13,18/06/2025,1.0,399,LAÇO CREPE,"1,00","13,00",DINHEIRO
14,18/06/2025,1.0,826,COLAR CORDÃO AMIZADE C/2,"1,00","8,00",DINHEIRO
15,18/06/2025,1.0,952,DIÁRIO CAPIVARA COM CADEADO,"1,00","37,00",PIX
16,18/06/2025,1.0,159,CANETA CAPIVARA COM PONTEIRA SIMPLES,"1,00","10,00",PIX
17,18/06/2025,1.0,958,CAPIVARA PULSEIRA PELUCIA PEQUENA,"1,00","50,00",PIX
18,18/06/2025,1.0,953,BOBBIE GOODS CAPIVARA GRANDE,"1,00","30,00",PIX
19,18/06/2025,1.0,42,LEGO STITCH 640 PEÇAS,"1,00","35,00",CARTÃO CRÉDITO
20,18/06/2025,1.0,795,MASCARA DE DORMIR TAPA OLHO C/ GEL STITCH,"1,00","16,00",CARTÃO CRÉDITO
21,18/06/2025,1.0,158,CANETA 12 CORES CAPIVARA,"1,00","15,00",CARTÃO CRÉDITO
22,18/06/2025,1.0,773,CANETA LUXO,"1,00","12,00",CARTÃO CRÉDITO
23,18/06/2025,1.0,419,CANETAS EM PROMOÇÃO,"1,00","3,00",CARTÃO CRÉDITO
24,18/06/2025,1.0,490,LIGA DE SILICONE,"1,00","2,99",CARTÃO CRÉDITO
25,18/06/2025,1.0,444,CHAVEIROS DIVERSOS,"1,00","9,99",CARTÃO CRÉDITO
26,18/06/2025,1.0,773,CANETA LUXO,"2,00","12,00",CARTÃO CRÉDITO
27,20/06/2025,1.0,666,CINTO METAL PROMOÇÃO,"1,00","19,99",CARTÃO DÉBITO
28,20/06/2025,1.0,70,SANDALIA STITCH SIMPLES,"1,00","34,99",CARTÃO DÉBITO
29,20/06/2025,1.0,962,BOLSA POP IT SILICONE CAPIVARA,"1,00","38,00",não checado
30,20/06/2025,1.0,923,LAÇO INFANTIL JUNINO,"2,00","20,00",não checado
31,20/06/2025,1.0,392,LENCO QUADRADO DE CETIM GRANDE,"1,00","20,00",PIX
32,20/06/2025,1.0,117,COLA BASTAO MONSTRINHO,"1,00","10,00",PIX
33,20/06/2025,1.0,699,BRINCO RESINADO BIJOUX,"1,00","15,00",CARTÃO CRÉDITO
34,20/06/2025,1.0,639,BRACELETE BIJOUX,"1,00","30,00",PIX
35,20/06/2025,1.0,835,SQUISHY PERSONAGENS,"1,00","16,00",PIX
36,21/06/2025,1.0,560,TIARA,"1,00","10,00",DINHEIRO
37,21/06/2025,1.0,456,LAÇO INFANTIL INDIVIDUAL,"1,00","10,00",DINHEIRO
38,21/06/2025,1.0,464,KIT LAÇOS DIVERSOS,"1,00","14,99",DINHEIRO
39,21/06/2025,1.0,491,LIGA DE SILICONE,"1,00","5,00",DINHEIRO
40,21/06/2025,1.0,484,XUXINHA KIT INFANTIL,"1,00","3,00",DINHEIRO
41,21/06/2025,1.0,457,LAÇO INFANTIL INDIVIDUAL,"1,00","10,00",CARTÃO DÉBITO
42,21/06/2025,1.0,306,GLOSS LIP VOLUMOSO MAX LOVE,"1,00","9,99",CARTÃO DÉBITO
43,21/06/2025,1.0,168,RELOGIO DIGITAL INFANTIL COM APLIQUE PERSONAGENS,"1,00","18,00",CARTÃO DÉBITO
44,21/06/2025,1.0,242,CAIXA PRESENTE TAM. P,"1,00","4,00",DINHEIRO
45,23/06/2025,1.0,800,KIT XUXINHA SIMPLES MEDIA COM 2,"2,00","4,00",DINHEIRO
46,23/06/2025,1.0,302,HENNA MAKIAJ,"1,00","10,00",não checado
47,23/06/2025,1.0,925,LAÇO INFANTIL JUNINO,"1,00","18,00",CARTÃO DÉBITO
48,23/06/2025,1.0,399,LAÇO CREPE,"1,00","13,00",PIX
49,23/06/2025,1.0,494,ELASTICO BABY SIZE BOX,"1,00","15,00",PIX
50,23/06/2025,1.0,628,BRINCO BIJOUX,"1,00","5,00",PIX
51,25/06/2025,1.0,345,MINE ESPONJA PINGO COM/3,"1,00","7,99",CARTÃO DÉBITO
52,25/06/2025,1.0,281,BRILHO LABIAL MISS ROSE,"1,00","9,99",CARTÃO DÉBITO
53,25/06/2025,1.0,913,PALETA 3 EM 1 ILUM+BLUSH+CONTORNO BOBBI RARA,"1,00","15,00",CARTÃO DÉBITO
54,25/06/2025,1.0,371,BASE MATE PORELESS LOVE RAIN,"1,00","15,00",CARTÃO DÉBITO
55,26/06/2025,1.0,549,PRESILHAS INDIVIDUAL,"4,00","9,00",não checado
56,26/06/2025,1.0,835,SQUISHY PERSONAGENS,"1,00","16,00",não checado
57,01/07/2025,1.0,550,PRESILHAS COM STRASS INDIVIDUAL,"1,00","12,00",CARTÃO DÉBITO
58,01/07/2025,1.0,549,PRESILHAS INDIVIDUAL,"1,00","9,00",CARTÃO DÉBITO
59,02/07/2025,1.0,966,CONJ PIJAMA INFANTIL MANGA COMPRIDA E CALÇA G,"1,00","50,00",PIX
60,02/07/2025,1.0,998,BOBBIE GOODS DIVERSOS TEMAS,"1,00","35,00",PIX
61,02/07/2025,1.0,686,EMBALAGEM SACO,"1,00","2,00",PIX
