,data,cliente,id_produto,descricao,quantidade,valor_und,forma_pag
0,03/04/2025,1.0,286,BATOM MATE LIP STICK,"1,00","11,00",CARTÃO CRÉDITO
1,03/04/2025,1.0,306,GLOSS LIP VOLUMOSO MAX LOVE,"1,00","9,99",CARTÃO CRÉDITO
2,03/04/2025,1.0,176,KIT TOUCH 24 PCS PONTA DUPLA,"1,00","75,00",DINHEIRO
3,03/04/2025,1.0,347,ESPONJA MAQUIAGEM INDIVIDUAL,"1,00","6,00",DINHEIRO
4,03/04/2025,1.0,772,PO SOLTO CHOCOLATE VIVAI,"1,00","10,00",DINHEIRO
5,03/04/2025,1.0,678,FONE SEM FIO,"1,00","30,00",DINHEIRO
6,03/04/2025,1.0,833,ACRESCIMO,"1,00","1,00",DINHEIRO
7,03/04/2025,1.0,817,PIRANHA METAL STRASS PEQUENA,"1,00","11,99",CARTÃO CRÉDITO
8,03/04/2025,1.0,540,PIRANHA METAL PEQUENA,"1,00","11,99",CARTÃO CRÉDITO
9,03/04/2025,1.0,330,PO FACIAL FINALIZADOR VEGANO MAX LOVE,"1,00","10,00",CARTÃO CRÉDITO
10,03/04/2025,1.0,576,BOLSA TRANSVESAL,"1,00","60,00",PIX
11,03/04/2025,1.0,751,OVO STITCH,"1,00","12,99",PIX
12,03/04/2025,1.0,460,LAÇO INFANTIL COM 2,"1,00","11,99",PIX
13,03/04/2025,1.0,460,LAÇO INFANTIL COM 2,"1,00","11,99",PIX
14,03/04/2025,1.0,686,EMBALAGEM SACO,"1,00","2,00",PIX
15,03/04/2025,1.0,158,CANETA 12 CORES CAPIVARA,"1,00","15,00",CARTÃO CRÉDITO
16,03/04/2025,1.0,691,BOLSA INFANTIL STITCH LUXO COM ALÇA METAL PEQUENA,"1,00","35,00",CARNÊ
17,03/04/2025,1.0,41,BOBBIE GOODS,"1,00","50,00",CARNÊ
18,03/04/2025,1.0,64,ADESIVO STITCH CARTELA,"1,00","5,00",CARNÊ
19,03/04/2025,1.0,52,SANDALIA GRANDENE STITCH INF,"1,00","100,00",PIX
20,03/04/2025,1.0,484,KIT XUXINHA SIMPLES FINA INFANTIL,"1,00","3,00",PIX
21,03/04/2025,1.0,482,XUXINHA COM POMPOM COM 2 INFANTIL,"2,00","5,99",PIX
22,04/04/2025,1.0,820,TOUCA BANHO 2X1 PLASTICO E TECIDO,"1,00","7,99",PIX
23,04/04/2025,1.0,331,PO FACIAL MIA MAKE,"1,00","10,00",PIX
24,04/04/2025,1.0,302,HENNA MAKIAJ,"1,00","9,99",DINHEIRO
25,04/04/2025,1.0,657,BODY MAIO TEMATICO,"1,00","40,00",PIX
26,04/04/2025,1.0,492,TUBO LIGA DE SILICONE,"1,00","6,00",PIX
27,04/04/2025,1.0,490,TUBO LIGA DE SILICONE,"1,00","2,99",PIX
28,04/04/2025,1.0,835,SQUISHY PERSONAGENS,"1,00","16,00",PIX DIRETO
29,04/04/2025,1.0,703,BOLSA INFANTIL STITCH MOCHILA TAM. M,"1,00","70,00",DINHEIRO
30,04/04/2025,1.0,835,SQUISHY PERSONAGENS,"1,00","16,00",DINHEIRO
31,04/04/2025,1.0,796,KIT TOUCH PONTA DUPLA 36 PCS,"1,00","60,00",PIX
32,04/04/2025,1.0,534,BICO PATO C/2 ADULTO,"1,00","8,00",PIX
33,04/04/2025,1.0,20,LAPIS INFINITO STITCH,"1,00","10,00",PIX
34,04/04/2025,1.0,670,RECARGA PONTA 2.0 POLY,"1,00","3,00",PIX
35,04/04/2025,1.0,838,PIJAMA INFANTIL FEMININO,"1,00","28,00",DINHEIRO
36,04/04/2025,1.0,478,TIARA DE MEIA  INDIVIDUAL BEBÊ,"1,00","15,00",DINHEIRO
37,04/04/2025,1.0,686,EMBALAGEM SACO,"1,00","2,00",DINHEIRO
38,04/04/2025,1.0,262,CADERNO INTELIGENTE 10 DISCOS,"1,00","50,00",CARTÃO CRÉDITO
39,04/04/2025,1.0,584,MOCHILA TACTEL,"1,00","60,00",CARTÃO CRÉDITO
40,04/04/2025,1.0,309,LAPIS DELENIADOR OLHO RUBY ROSE,"1,00","7,00",CARTÃO DÉBITO
41,04/04/2025,1.0,64,ADESIVO STITCH CARTELA,"1,00","5,00",PIX
42,04/04/2025,1.0,203,LAPIS INFINITO C/ APLIQUE PERSONAGENS,"1,00","10,00",PIX
43,04/04/2025,1.0,582,BOLSA T60 ESPORTIVA,"1,00","45,00",PIX
44,04/04/2025,1.0,819,XUXINHA DE MEIA,"1,00","4,99",PIX
45,04/04/2025,1.0,535,MINI PIRANHA C/6,"1,00","9,99",PIX
46,04/04/2025,1.0,796,KIT TOUCH PONTA DUPLA 36 PCS,"1,00","60,00",DINHEIRO
47,04/04/2025,1.0,65,POSTIT CARTELA STITCH,"1,00","20,00",DINHEIRO
48,04/04/2025,1.0,373,GLOSS 3D FEBELLA,"1,00","15,00",DINHEIRO
49,04/04/2025,1.0,418,CANETA FINELINER DIAMONDC/8CORES,"1,00","27,99",DINHEIRO
50,04/04/2025,1.0,480,TIARA DE MEIA KIT C/4  BEBÊ,"1,00","18,00",DINHEIRO
51,04/04/2025,1.0,694,KIT ÓCULOS/PRESILHA/LAÇO INFANTIL,"1,00","16,00",DINHEIRO
52,04/04/2025,1.0,545,PIRANHA MÉDIA,"1,00","13,00",DINHEIRO
53,04/04/2025,1.0,598,PIJAMA INFANTIL FEMININO,"1,00","30,00",DINHEIRO
54,04/04/2025,1.0,473,TIARA DE MEIA INDIVIDUAL BEBÊ,"8,00","5,99",DINHEIRO
55,04/04/2025,1.0,441,CHAVEIROS DIVERSOS MEDIOS,"1,00","13,00",CARTÃO CRÉDITO
56,04/04/2025,1.0,569,BOLSA BAG  PEQUENA,"1,00","20,00",CARTÃO CRÉDITO
57,04/04/2025,1.0,21,"LAPISEIRA PERSONAGENS 0,7","1,00","7,99",CARTÃO CRÉDITO
58,05/04/2025,1.0,759,GEL HIDRATANTE VIRILHA BABASOUL 280ML,"1,00","25,00",PIX DIRETO
59,05/04/2025,1.0,491,LIGA DE SILICONE,"1,00","4,99",PIX DIRETO
60,05/04/2025,1.0,20,LAPIS INFINITO STITCH,"1,00","10,00",PIX DIRETO
61,05/04/2025,1.0,481,XUXINHA C/2 APLIQUE PERSONAGENS DIVERSOS,"2,00","4,00",PIX DIRETO
62,05/04/2025,1.0,778,KIT LIVRO COLORIR STITCH C/12 GIZ DE CERA,"1,00","25,00",PIX DIRETO
63,05/04/2025,1.0,686,EMBALAGEM SACO,"1,00","2,00",PIX DIRETO
64,05/04/2025,1.0,710,TAXA ENTREGA,"1,00","10,00",PIX DIRETO
65,05/04/2025,1.0,824,MOCHILA PASSEIO COM BRILHO GRANDE INFANTIL,"1,00","69,99",PIX DIRETO
66,05/04/2025,1.0,541,PIRANHA METAL MÉDIA,"1,00","13,99",PIX DIRETO
67,05/04/2025,1.0,629,BRINCO BIJOUX,"1,00","23,00",PIX DIRETO
68,05/04/2025,1.0,686,EMBALAGEM SACO,"2,00","2,00",PIX DIRETO
69,05/04/2025,1.0,554,XUXINHA INDIVIDUAL,"1,00","8,00",PIX DIRETO
70,05/04/2025,1.0,26,CANETA 6 CORES C/ PONTEIRA TRANSP. STITCH,"1,00","14,99",CARTÃO CRÉDITO
71,05/04/2025,1.0,687,COLAR MIÇANGA PINGENTE STITCH,"1,00","11,99",CARTÃO CRÉDITO
72,05/04/2025,1.0,543,PIRANHA METAL PEQUENA,"1,00","9,99",CARTÃO CRÉDITO
73,05/04/2025,1.0,704,KIT FAIXA ESPORTE ELASTICA C/6,"1,00","11,99",CARTÃO CRÉDITO
74,05/04/2025,1.0,721,BRINCO FOLHEADO DOURADO,"1,00","12,00",CARTÃO CRÉDITO
75,05/04/2025,1.0,717,BRINCO FOLHEADO DOURADO,"1,00","9,99",CARTÃO CRÉDITO
76,05/04/2025,1.0,2,CANETA SIMPLES C/ PONTEIRA,"1,00","5,99",CARTÃO CRÉDITO
77,05/04/2025,1.0,692,ESCOVA CABELO STITCH,"1,00","40,00",CARTÃO CRÉDITO
78,05/04/2025,1.0,600,PIJAMA ADULTO FEMININO,"1,00","45,00",CARTÃO CRÉDITO
79,05/04/2025,1.0,554,XUXINHA INDIVIDUAL,"1,00","8,00",CARTÃO CRÉDITO
80,05/04/2025,1.0,755,BLIND BOX STITCH ACESSORIO,"1,00","14,99",CARTÃO CRÉDITO
81,05/04/2025,1.0,710,TAXA ENTREGA,"1,00","10,00",CARTÃO CRÉDITO
82,05/04/2025,1.0,41,BOBBIE GOODS,"1,00","50,00",PIX DIRETO
83,05/04/2025,13.0,825,MOCHILA PELÚCIA CAPIVARA C/CAPUZ,"1,00","79,99",DINHEIRO
84,05/04/2025,13.0,816,ESCOVA CABELO CAPIVARA,"1,00","30,00",DINHEIRO
85,05/04/2025,13.0,787,TOALHA INFANTIL,"1,00","8,00",DINHEIRO
86,05/04/2025,1.0,629,BRINCO BIJOUX,"1,00","23,00",CARNÊ
87,07/04/2025,1.0,425,COPO TERMICO MUSICAL,"1,00","40,00",PIX
88,07/04/2025,1.0,760,CORRETIVO LUA E NEVE,"1,00","10,00",PIX
89,07/04/2025,1.0,333,GEL PARA SOMBRANCELHA MELU,"1,00","10,00",PIX
90,07/04/2025,1.0,721,BRINCO FOLHEADO DOURADO,"1,00","12,00",DINHEIRO
91,07/04/2025,1.0,546,PIRANHA MÉDIA,"1,00","10,00",DINHEIRO
92,07/04/2025,1.0,538,PIRANHA PEQUENA,"1,00","8,00",DINHEIRO
93,07/04/2025,1.0,247,BOLSA INFANTIL,"1,00","40,00",CARTÃO DÉBITO
94,07/04/2025,1.0,752,LIP GLOSS STITCH MOC MALLURE,"1,00","17,99",CARTÃO DÉBITO
95,07/04/2025,1.0,491,LIGA DE SILICONE,"1,00","4,99",CARTÃO DÉBITO
96,07/04/2025,1.0,692,ESCOVA CABELO STITCH,"1,00","40,00",CARTÃO DÉBITO
97,07/04/2025,1.0,482,XUXINHA COM POMPOM COM 2 INFANTIL,"1,00","5,99",CARTÃO DÉBITO
98,08/04/2025,1.0,849,PELUCIA CAPIVARA,"1,00","60,00",PIX
99,08/04/2025,1.0,686,EMBALAGEM SACO,"1,00","2,00",PIX
100,08/04/2025,1.0,60,CALCULADORA,"1,00","19,00",PIX
101,08/04/2025,1.0,850,BOLSA DIVERSAS,"1,00","40,00",CARTÃO CRÉDITO
102,08/04/2025,1.0,686,EMBALAGEM SACO,"1,00","2,00",CARTÃO CRÉDITO
103,08/04/2025,1.0,245,BOLSA PELUICA BICHINHOS,"1,00","20,00",CARTÃO CRÉDITO
104,08/04/2025,1.0,481,XUXINHA C/2 APLIQUE PERSONAGENS DIVERSOS,"1,00","4,00",CARTÃO CRÉDITO
105,08/04/2025,1.0,554,XUXINHA INDIVIDUAL,"1,00","8,00",CARTÃO CRÉDITO
106,08/04/2025,1.0,331,PO FACIAL MIA MAKE,"1,00","10,00",CARTÃO DÉBITO
107,08/04/2025,1.0,41,BOBBIE GOODS,"1,00","50,00",PIX
108,08/04/2025,1.0,64,ADESIVO STITCH CARTELA,"1,00","5,00",PIX
109,09/04/2025,1.0,719,CONJ.FOLHEADO BRINCO/CORRENTE/PINGENTE,"1,00","54,99",CARTÃO CRÉDITO
110,09/04/2025,1.0,736,PRESILHA INDIVIDUAL,"1,00","12,99",não checado
111,09/04/2025,1.0,796,KIT TOUCH PONTA DUPLA 36 PCS,"1,00","60,00",CARNÊ
112,09/04/2025,1.0,710,TAXA ENTREGA,"1,00","10,00",CARNÊ
113,09/04/2025,1.0,836,PIJAMA INFANTIL FEMININO,"1,00","50,00",PIX DIRETO
114,09/04/2025,1.0,753,LIP OIL STITCH SWETT,"1,00","9,99",PIX DIRETO
115,09/04/2025,1.0,686,EMBALAGEM SACO,"1,00","2,00",PIX DIRETO
116,09/04/2025,1.0,41,BOBBIE GOODS,"1,00","50,00",CARTÃO CRÉDITO
117,09/04/2025,1.0,71,SANDALIA HAV. C/ BRILHO STITCH,"1,00","40,00",CARTÃO CRÉDITO
118,09/04/2025,1.0,692,ESCOVA CABELO STITCH,"1,00","40,00",CARTÃO CRÉDITO
119,09/04/2025,1.0,680,SQUISHY STITCH,"1,00","22,00",CARTÃO CRÉDITO
120,09/04/2025,1.0,703,BOLSA INFANTIL STITCH MOCHILA TAM. M,"1,00","70,00",CARTÃO CRÉDITO
121,09/04/2025,1.0,839,LAÇO BICO PATO C/2 UND STITCH,"1,00","13,00",CARTÃO CRÉDITO
122,09/04/2025,1.0,835,SQUISHY PERSONAGENS,"1,00","16,00",não checado
123,09/04/2025,1.0,41,BOBBIE GOODS,"1,00","50,00",DINHEIRO
124,10/04/2025,1.0,820,TOUCA BANHO 2X1 PLASTICO E TECIDO,"1,00","7,99",CARNÊ
125,10/04/2025,1.0,462,LAÇO INFANTIL COM 2,"1,00","9,00",CARNÊ
126,10/04/2025,1.0,547,PIRANHA GRANDE,"1,00","12,00",CARNÊ
127,10/04/2025,1.0,771,BODY SPLASH PERFUME,"1,00","29,99",CARTÃO CRÉDITO
128,10/04/2025,1.0,546,PIRANHA MÉDIA,"1,00","10,00",CARTÃO CRÉDITO
129,10/04/2025,1.0,818,XUXINHA C/ APLIQUE METAL,"1,00","10,00",CARTÃO CRÉDITO
130,10/04/2025,1.0,500,PULSEIRA CORDÃO AJUSTAVEL,"1,00","5,00",CARTÃO CRÉDITO
131,10/04/2025,1.0,745,CHAVEIRO LETRAS,"1,00","13,00",PIX
132,10/04/2025,1.0,500,PULSEIRA CORDÃO AJUSTAVEL,"1,00","5,00",CARTÃO CRÉDITO
133,10/04/2025,1.0,176,KIT TOUCH 24 PCS PONTA DUPLA,"1,00","75,00",DINHEIRO
134,10/04/2025,1.0,2,CANETA SIMPLES C/ PONTEIRA,"1,00","5,99",DINHEIRO
135,10/04/2025,1.0,227,GELELÉ SLIME,"1,00","15,00",DINHEIRO
136,10/04/2025,1.0,452,BOLSA INFANTIL,"1,00","25,00",PIX
137,11/04/2025,1.0,428,XICARA PORCELANA STITCH,"2,00","35,00",DINHEIRO
138,11/04/2025,1.0,790,CHAVEIRO PORTA MOEDA STITCH,"1,00","1,00",DINHEIRO
139,11/04/2025,1.0,36,BORRACHA STITCH SIMPLES,"1,00","5,99",DINHEIRO
140,11/04/2025,1.0,787,TOALHA INFANTIL,"1,00","8,00",DINHEIRO
141,11/04/2025,1.0,728,BRACELETE FOLHEADO DOURADO,"1,00","40,00",CARTÃO CRÉDITO
142,11/04/2025,1.0,546,PIRANHA MÉDIA,"1,00","10,00",CARTÃO CRÉDITO
143,11/04/2025,1.0,817,PIRANHA METAL STRASS PEQUENA,"1,00","11,99",CARTÃO CRÉDITO
144,11/04/2025,1.0,562,PRESILHAS PLASTICO INDIVIDUAL,"2,00","9,00",CARTÃO CRÉDITO
145,11/04/2025,1.0,814,APLIQUE COQUE PENTEADO,"1,00","12,00",CARTÃO CRÉDITO
146,11/04/2025,1.0,392,LENCO QUADRADO DE CETIM GRANDE,"1,00","19,99",CARTÃO CRÉDITO
147,11/04/2025,1.0,604,COLAR BIJOUX,"1,00","40,00",CARTÃO CRÉDITO
148,11/04/2025,1.0,626,BRINCO BIJOUX,"2,00","12,00",CARTÃO CRÉDITO
149,11/04/2025,1.0,778,KIT LIVRO COLORIR STITCH C/12 GIZ DE CERA,"1,00","25,00",CARTÃO CRÉDITO
150,11/04/2025,1.0,686,EMBALAGEM SACO,"1,00","2,00",CARTÃO CRÉDITO
151,11/04/2025,1.0,817,PIRANHA METAL STRASS PEQUENA,"1,00","11,99",PIX DIRETO
152,11/04/2025,1.0,800,KIT XUXINHA MEDIA COM 2,"1,00","4,00",PIX
153,11/04/2025,1.0,808,PIRANHA EXTRA GRANDE QUADRADA,"1,00","11,00",PIX
154,11/04/2025,1.0,717,BRINCO FOLHEADO DOURADO,"1,00","9,99",PIX
155,11/04/2025,1.0,819,XUXINHA DE MEIA,"3,00","4,99",PIX
156,11/04/2025,1.0,670,RECARGA PONTA 2.0 POLY,"2,00","3,00",CARTÃO DÉBITO
157,11/04/2025,1.0,305,GLOSS LIP VOLUMOSO MENTOL,"1,00","9,99",PIX
158,11/04/2025,1.0,150,BORRACHA RETRATIL CAPIVARA,"1,00","10,00",PIX
159,11/04/2025,1.0,546,PIRANHA MÉDIA,"1,00","10,00",CARTÃO DÉBITO
160,11/04/2025,1.0,608,COLAR BIJOUX,"1,00","12,00",CARTÃO DÉBITO
161,11/04/2025,1.0,280,MOUSSE MICELAR BABABELL,"1,00","20,00",DINHEIRO
162,11/04/2025,1.0,3,LAPIS POLY 2.0,"1,00","5,00",DINHEIRO
163,11/04/2025,1.0,838,PIJAMA INFANTIL FEMININO,"1,00","28,00",PIX
164,11/04/2025,1.0,2,CANETA SIMPLES C/ PONTEIRA,"2,00","5,99",CARTÃO CRÉDITO
165,11/04/2025,1.0,509,ESPONJA COQUE PENTEADO,"1,00","6,00",CARTÃO CRÉDITO
166,11/04/2025,1.0,460,LAÇO INFANTIL COM 2,"1,00","11,99",CARTÃO CRÉDITO
167,11/04/2025,1.0,600,PIJAMA ADULTO FEMININO,"1,00","45,00",PIX
168,11/04/2025,1.0,238,EMBALAGEM PAPEL BOCA PALHAÇO/ PRESENTE TAM. PP,"1,00","6,00",PIX
169,11/04/2025,1.0,803,LAÇO INFANTIL INDIVIDUAL C/ COELHO,"1,00","8,00",PIX
170,11/04/2025,1.0,130,RELOGIO DIGITAL INFANTIL LEGO,"1,00","25,00",PIX
171,12/04/2025,1.0,130,RELOGIO DIGITAL INFANTIL LEGO,"1,00","25,00",CARTÃO
172,12/04/2025,1.0,686,EMBALAGEM SACO,"1,00","2,00",CARTÃO
173,12/04/2025,1.0,852,GUACHE CRIATIVO STITCH,"1,00","80,00",CARTÃO CRÉDITO
174,12/04/2025,1.0,73,CHAVEIRO STITCH PROJETOR,"1,00","19,99",CARTÃO CRÉDITO
175,12/04/2025,1.0,239,CABO DE CARREGAMENTO 6CB66 TIPO C,"1,00","11,99",CARTÃO CRÉDITO
176,12/04/2025,1.0,660,DIAMAOND STITCH PINTURA,"1,00","22,99",CARTÃO CRÉDITO
177,14/04/2025,1.0,176,KIT TOUCH 24 PCS PONTA DUPLA,"1,00","75,00",PIX DIRETO
178,14/04/2025,1.0,196,APONTADOR COM BORRACHA KAZ,"1,00","6,00",PIX DIRETO
179,14/04/2025,1.0,480,TIARA DE MEIA KIT C/4  BEBÊ,"1,00","18,00",PIX DIRETO
180,14/04/2025,1.0,686,EMBALAGEM SACO,"2,00","2,00",PIX DIRETO
181,14/04/2025,1.0,853,PULSEIRA BIJOUX,"1,00","10,00",DINHEIRO
182,14/04/2025,1.0,369,BLUSH BASTAO LOVE RAIN,"1,00","14,99",DINHEIRO
183,14/04/2025,1.0,763,CARTEIRA INFANTIL PERSONAGENS,"1,00","15,00",não checado
184,14/04/2025,1.0,791,TIARA MAKE STITCH,"1,00","29,99",não checado
185,14/04/2025,1.0,757,SABONETE FACIAL BABASOUL CHICLETE,"1,00","10,00",não checado
186,14/04/2025,1.0,412,CARTEIRA MASCULINA,"1,00","30,00",não checado
187,14/04/2025,1.0,787,TOALHA INFANTIL,"1,00","8,00",CARNÊ
188,14/04/2025,1.0,856,BRINQUEDO AUTISMO,"1,00","10,00",CARNÊ
189,14/04/2025,1.0,803,LAÇO INFANTIL INDIVIDUAL C/ COELHO,"1,00","8,00",CARNÊ
190,14/04/2025,1.0,827,BOLSA DE VIAGEM MULTIFUNCIONAL,"1,00","50,00",CARNÊ
191,14/04/2025,1.0,130,RELOGIO DIGITAL INFANTIL LEGO,"1,00","25,00",PIX
192,14/04/2025,1.0,787,TOALHA INFANTIL,"1,00","8,00",PIX
193,14/04/2025,1.0,311,LAPIS DE OLHO MIA MAKE,"1,00","4,99",CARTÃO CRÉDITO
194,15/04/2025,1.0,443,CHAVEIRO GRANDES DIVERSOS,"1,00","16,00",CARTÃO DÉBITO
195,15/04/2025,1.0,828,KIT FLOR PIRANHA/XUXINHA/ELASTICO,"1,00","23,99",CARTÃO DÉBITO
196,15/04/2025,1.0,773,CANETA LUXO,"1,00","12,00",CARTÃO DÉBITO
197,15/04/2025,1.0,2,CANETA SIMPLES C/ PONTEIRA,"1,00","5,99",CARTÃO DÉBITO
198,15/04/2025,1.0,556,XUXINHA INDIVIDUAL,"2,00","5,00",CARTÃO DÉBITO
199,15/04/2025,1.0,857,PIRANHA VELUDO GRANDE,"1,00","13,00",CARTÃO DÉBITO
200,15/04/2025,1.0,417,CANETA CIS C/ APLIQUE,"1,00","7,00",DINHEIRO
201,15/04/2025,1.0,698,COLAR BÚZIOS CORDÃO,"1,00","10,00",DINHEIRO
